article_id,title,url,short_description,reading_time
12,Плюсы и минусы карты Мир,https://www.vtb.ru/articles/plyusy-i-minusy-karty-mir/,"Национальная платежная система (ПС) «Мир» появилась в России в 2015 году в качестве аналога Visa и Mastercard. Со временем ее сделали обязательной для расчетов с сотрудниками бюджетной сферы, а также для получения гражданами РФ пособий и льгот.",4
13,Что делать при потере карты,https://www.vtb.ru/articles/chto-delat-esli-poteryal-kartu/,"Потерять банковскую карту может каждый. Маленький пластиковый прямоугольник порой трудно заметить, он может оказаться на дне сумки, упасть с полки, затеряться в одном из многочисленных карманов. Хуже потерять не дома — чаще всего пластик забывают в магазине, в банкомате, он выпадает из кармана на улице или в такси.",5
14,Процент на остаток,https://www.vtb.ru/articles/procent-na-ostatok/,"Чтобы создать привлекательные условия, банки предлагают особые продукты с дополнительной выгодой для клиентов. Например, карта с процентом на остаток. Выбирая ее, пользователи могут регулярно получать небольшой дополнительный доход. Как это работает, разберем в статье.",4
15,Что такое детская карта,https://www.vtb.ru/articles/chto-takoe-detskaya-karta/,"Примерно к начальной школе ребенок сталкивается с первыми тратами: оплачивает транспорт, чтобы доехать до кружка, ходит в магазин по просьбе мамы и папы, покупает обеды в школьной столовой. У современных родителей не всегда есть наличные для этих целей. Чтобы не искать каждый раз мелочь и купюры, для карманных расходов ребенка можно сделать детскую банковскую карту.",5
16,Что такое цифровая карта,https://www.vtb.ru/articles/chto-takoe-cifrovaya-karta/,"Виртуальная, или цифровая, банковская карта — это такая же карта, как традиционная, но без пластикового носителя. Физически потрогать ее нельзя, но в личном кабинете банка она отображается как обычная и имеет все те же реквизиты — номер, CVC-код, срок действия, Ф.И.О. владельца, название платежной системы. Электронную информацию о цифровой банковской карте называют токеном. Виртуальную карту нельзя вставить в банкомат или прокатать в терминале. Все операции проходят виртуально через интернет. Карточка может быть одноразовой — она выпускается с определенным лимитом для разовой покупки, когда владелец не хочет вводить данные основной банковской карты.",5
17,Можно ли давать данные банковской карты,https://www.vtb.ru/articles/mozhno-li-davat-dannye-bankovskoy-karty/
18,Доставка дебетовой карты,https://www.vtb.ru/articles/dostavka-debetovoy-karty/,"Каждый день десятки тысяч людей активно пользуются доставкой в разных сферах своей жизни. Это доставка продуктов питания, техники, строительных материалов, лекарств, готовой еды и прочее. Доставка это не только удобный, но и качественный сервис, она экономит ваше время, оберегает от воздействия негативных погодных условий и улучшает качество жизни.",5
19,Как выбрать дебетовую карту,https://www.vtb.ru/articles/dostavka-debetovoy-karty/,"Каждый день десятки тысяч людей активно пользуются доставкой в разных сферах своей жизни. Это доставка продуктов питания, техники, строительных материалов, лекарств, готовой еды и прочее. Доставка это не только удобный, но и качественный сервис, она экономит ваше время, оберегает от воздействия негативных погодных условий и улучшает качество жизни.",5
20,Что такое кэшбек,https://www.vtb.ru/articles/chto-takoe-keshbek/,"Пользоваться банковской картой может быть не только удобно, но и выгодно. Все благодаря получению кешбэка — банки стараются привлечь клиентов, поэтому помогают приобретать различные продукты и услуги со скидками или бонусами. Что такое кэшбэк, как и за что он начисляется — разберем в этой статье.",5
21,Сколько делается карта,https://www.vtb.ru/articles/skolko-delaetsya-karta/,"Обращаясь в банк за новой картой, хочется точно понимать, когда получится ей воспользоваться. Выпуск нового пластика может понадобиться, когда клиент меняет банк, открывает новый продукт или если он потерял старую карточку. В некоторых ситуациях карточка нужна сразу, и срок ее получения становится критичным.",4
22,Со скольки лет можно открыть дебетовую карту,https://www.vtb.ru/articles/so-skolki-let-mozhno-otkryt-debetovuyu-kartu/
23,Что такое кредит,https://www.vtb.ru/articles/chto-takoye-kredit/,"Если не хватает средств на приобретение нужных товаров, реализацию крупных целей, то можно обратиться в банк. Банк выдаст необходимую сумму под проценты — это и называется банковским кредитом.",5
24,Досрочное погашение кредита,https://www.vtb.ru/articles/dosrochnoye-pogasheniye-kredita/,"В этой статье расскажем об особенностях досрочного погашения кредита, на что обратить внимание, о способах погашения.",4
25,Рефинансирование кредита - что это такое,https://www.vtb.ru/articles/chto-takoye-refinansirovaniye-kredita/,"Это замена уже имеющегося у клиента кредита новым, который он берёт у своего или другого банка на более выгодных для себя условиях.",3
26,Справка по форме банка в 2023,https://www.vtb.ru/articles/spravka-po-forme-banka-2023/,"Для получения кредита в ряде случаях может потребоваться предоставление документов, подтверждающих доходы клиента. Не все клиенты могут подтвердить зарплату официально и в полном объеме с помощью справки 2-НДФЛ.",2
27,Как погасить кредитную карту,https://www.vtb.ru/articles/chto-takoye-kreditnaya-karta/,"Кредитная карта — это банковский продукт, с помощью которого клиент может делать покупки, переводы и снимать наличные, даже если в данный момент не имеет собственных денег. Средства берут в долг у банка, расходуют в обычных торговых точках и интернет-магазинах или обналичивают. Это значит, что кредитка дает финансовую свободу без необходимости занимать у друзей, то есть возможность всегда иметь средства на необходимые или непредвиденные траты и не откладывать надолго желанные покупки.",6
28,Что такое рефинансирование кредитных карт,https://www.vtb.ru/articles/chto-takoe-refinansirovanie-kreditnyh-kart/,"Кредитные карты — это деньги, которые всегда под рукой. Пользоваться ими можно по мере необходимости, не обращаясь каждый раз в банк. Незаменимая вещь, если деньги потребовались неожиданно: не нужно занимать, снимать деньги с вклада, теряя проценты, или оформлять потребительский кредит.",5
29,Что такое кредитный лимит по карте,https://www.vtb.ru/articles/chto-takoe-kreditnyy-limit-po-karte/,"Оформляя кредитку, клиент получает определенный лимит — это максимальная сумма, в рамках которой можно совершать покупки, переводить деньги, снимать наличные и выполнять прочие операции. Провести оплату сверх лимита не получится — она будет заблокирована.",5
30,Что такое карта рассрочки,https://www.vtb.ru/articles/chto-takoe-karta-rassrochki/,"Когда не хватает денег на долгожданную покупку, всегда можно воспользоваться заемными деньгами. Для этих целей банк предлагает кредитки или карты рассрочки. В обоих случаях клиент получает определенную сумму в пользование и затем возвращает по заранее оговоренной схеме. Но условия и порядок погашения долга будут разные. Разберемся, чем рассрочка отличается от кредита и в каких случаях она больше подойдет для покупок.",5
31,Как закрыть кредитную карту,https://www.vtb.ru/articles/kak-zakryt-kreditnuyu-kartu/,"Кредитную карту берут, чтобы совершать покупки в долг, а расплачиваться за них позднее. Когда потребность в заемных деньгах пропадет, кредитку закрывать не обязательно — например, в ВТБ она бесплатная в обслуживании, платить за ее наличие не нужно. Если возникнут незапланированные траты на лечение, шопинг или отпуск, вы всегда сможете использовать кредитку.",5
32,Ипотека - что это такое простыми словами,https://www.vtb.ru/articles/chto-takoe-ipoteka/,"Ипотека — это целевой заем на покупку недвижимости, который предоставляет банк. Он отличается крупной суммой и длительным сроком. Также важно наличие залога, так как нельзя выдать миллионы без гарантии возврата. Наличия подтверждающих платежеспособность документов недостаточно, а залог в виде приобретаемого имущества устраивает все стороны и выступает гарантом возврата долга.",5
33,Как взять ипотеку,https://www.vtb.ru/articles/kak-vzyat-ipoteku/,"Для зарплатного клиента может оказаться достаточно только паспорта. Если вы получаете зарплату на карту другого банка, необходимо предоставить дополнительные документы. Подробнее в нашей статье.",5
34,Что такое оценка жилья для ипотеки простыми словами,https://www.vtb.ru/articles/ocenka-zhilya/,"Ипотечный кредит отличается тем, что приобретаемое жилье оформляется в залог. Банк считает его ликвидным, поэтому ставки по ипотеке обычно ниже ставок по нецелевым кредитам. Но ему важно заранее знать, что именно собирается покупать заемщик — хорошую квартиру или аварийное жилье. На основании отчета можно оценить, сколько на самом деле стоит жилплощадь, на которую берется кредит. Банк будет учитывать документацию от экспертов при выдаче ипотеки.",5
35,Стоит ли сейчас брать ипотеку,https://www.vtb.ru/articles/stoit-li-seychas-brat-ipoteku/,"Рынок ипотечного кредитования в 2022 году изменился. Появились новые условия заключения кредитных договоров и государственных программ, изменились процентные ставки и цены. Рассмотрим, стоит ли сейчас брать ипотеку и как приобрести жилье максимально выгодно.",5
36,Как продать квартиру в ипотеке,https://www.vtb.ru/articles/kak-prodat-kvartiru-kuplennuyu-v-ipoteku/,"Если вы оформили ипотечный кредит и приобрели жилплощадь, это не значит, что вам придется оставаться в ней всю жизнь. Если планируется приобрести жилплощадь в другом районе или городе, а имеющаяся уже не подходит, есть несколько вариантов, как ее продать.",5
37,Что такое льготная ипотека и как ее получить,https://www.vtb.ru/articles/chto-takoe-lgotnaya-ipoteka/,"Ипотека с господдержкой помогает людям приобрести собственное жилье на льготных условиях. Мы разобрали условия и требования нескольких госпрограмм и предложений ВТБ, с помощью которых можно выгодно купить недвижимость.",4
38,Зачем компании нужны регламенты,https://www.vtb.ru/articles/zachem-kompanii-nujny-reglamenty/,"Регламент — это внутренний нормативный акт, который описывает бизнес-процессы, например, взаимодействие между подразделениями или порядок работы сотрудников. Действует только для той компании, которая его разработала, утвердила и внедрила. Регламент организации может быть разработан с нуля или опираться на общепринятые документы, например на ГОСТы.",4
39,Что такое зарплатный проект,https://www.vtb.ru/articles/chto-takoe-zarplatnyj-proekt/,"Начиная бизнес, будьте готовы решать не только профильные задачи, связанные с основным направлением деятельности. Во многом работа предпринимателя – это еще и рутина, которая отнимает время и другие ресурсы. Рациональным решением станет привлечь специалистов из сторонних компаний или подключить автоматизированные сервисы. Это позволит сэкономить время, а во многих случаях еще сохранить и деньги – так как убережет от ошибок.",5
40,Какие налоги платит ООО на разных системах налогообложения,https://www.vtb.ru/articles/kakie-nalogi-platit-ooo-na-raznyh-sistemah-nalogooblozheniya/,"В зависимости от системы налогообложения, юридические лица уплачивают различные налоги в пользу государства. Некоторые из них нужно перечислять всем предприятиям, другие уплачиваются только при условии применения конкретного налогового режима. Разберемся, какие налоги ООО должны платить на разных системах налогообложения.",6
41,Бизнес-карта для ИП и ООО: возможности и преимущества,https://www.vtb.ru/articles/biznes-karty-dlya-ip-i-ooo/,"Банковские карты давно стали платежным средством номер один. По данным Центрального банка России уже три четверти оплат в стране совершается именно безналичным способом. Индивидуальные предприниматели и юридические лица также имеют возможность оплачивать товары и услуги с помощью карты – банки предлагают выпуск специальных бизнес-карт. В статье разбираемся детально, как ИП и ООО пользоваться бизнес-картой и экономить с ее помощью.",5
42,Как ИП и ООО изменить коды ОКВЭД,https://www.vtb.ru/articles/kak-izmenit-kody-okved/,"Жизненный цикл бизнеса состоит из различных процессов. Иногда компания переключается на другое направление деятельности или начинает развивать еще одно, изменения могут коснуться также состава руководства или даже владельцев бизнеса. Любые значимые изменения, касающиеся ИП или ООО, должны быть своевременно внесены в специальные открытые источники – ЕГРИП и ЕГРЮЛ. Расскажем о том, как изменить коды ОКВЭД и другие данные быстро и без визита в налоговую службу.",5
43,Бухгалтерия для ИП: сравнение аутсорсинга бухгалтерии и специалиста,https://www.vtb.ru/articles/buhgalteriya-dlya-ip-kak-vygodnee/,"Бухгалтерский и налоговый учет составляет значительную часть рутины в бизнесе. По закону 402-ФЗ индивидуальные предприниматели освобождены от необходимости сдавать бухгалтерскую отчетность, однако за ними сохраняется обязанность отчитываться перед налоговой службой и передавать данные о сотрудниках в государственные фонды. Многие ИП все равно ведут бухгалтерию для внутреннего пользования. Это позволяет оценивать эффективность бизнеса, выстраивать стратегическое планирование. В совокупности эти задачи по-прежнему называют бухучетом – так удобнее.",5
44,Как участвовать в тендерах: какие документы нужны для подачи заявки,https://www.vtb.ru/articles/kak-uchastvovat-v-tenderah/,"Государственные учреждения имеют потребность в товарах и услугах, необходимых для решения стоящих перед ними задач. Такие организации выбирают на рынке самое выгодное предложение, так как финансирование происходит из бюджета: муниципального, регионального или федерального. Для того чтобы выбрать поставщика, предлагающего подходящие условия, госкомпании проводят тендер. Как это работает и как участвовать в госзакупках, вы узнаете в нашей статье.",6
45,Как открыть ООО,https://www.vtb.ru/articles/kak-otkryt-ooo/,"Самостоятельное открытие общества с ограниченной ответственностью (ООО) — не самая простая процедура, придется собрать пакет документов и учесть множество нюансов. Понятно, почему многие решают делегировать заботы посреднику за умеренную плату. При этом некоторые предприниматели рекомендуют в первый раз пройти все этапы регистрации бизнеса самому. Опыт взаимодействия с государственными органами, полученный при этом, пригодится в будущем.",6
46,Как положить деньги на расчетный счет ИП,https://www.vtb.ru/articles/kak-polojit-dengi-na-raschetniy-schet-ip/,"Внесение наличных на счет ИП может понадобиться, когда нужно рассчитаться за поставки, расплатиться с сотрудниками, внести платеж по кредиту, оплатить налоги и пр. Как положить деньги на счет ИП и все правильно оформить — читайте в нашей статье.",4
47,Какой бизнес открыть для работы на маркетплейсе: ИП или ООО,https://www.vtb.ru/articles/kakoy-biznes-otkryt-dlya-marketpleysov/,"Продажи на маркетплейсах – одна из самых популярных сфер бизнеса среди тех, кто начинает свое дело в 2023 году. Во многом это объясняется простотой работы с интернет-площадками и минимальными вложениями на старте такого бизнеса. Разберемся в этой статье, какой бизнес зарегистрировать, если вы хотите продавать товары на Wildberries, Ozon, Яндекс Маркет и других маркетплейсах.",3
48,Как самозанятым продвигать свои товары и услуги,https://www.vtb.ru/articles/kak-samozanyatym-prodvigat-tovary-i-uslugi/,"Статус самозанятого позволяет открыто вести деятельность по продаже товаров и услуг, а еще это возможность давать рекламу. Реклама – действенный инструмент, чтобы рассказать о своем бизнесе и привлечь активную, покупающую аудиторию. Расскажем, как самозанятому оформить рекламу и соблюсти закон.",4
49,Самозанятость для пенсионеров: как стать налоговый вычет и индексация пенсии,https://www.vtb.ru/articles/samozanyatost-dlya-pensionerov/,"Граждане, которые достигли пенсионного возраста, имеют право на получение страховой пенсии. Размер этой ежемесячной выплаты рассчитывается исходя из продолжительности трудовой деятельности и количества пенсионных баллов. Многие пенсионеры хотят получать дополнительный заработок, занимаясь продажей товаров или предоставлением услуг. Один из доступных вариантов – самозанятость. Расскажем подробнее, как пенсионеру стать самозанятым и есть ли какие-то нюансы совмещения этих двух статусов.",4
50,Больничный и декрет для самозанятых в 2023 году,https://www.vtb.ru/articles/bolnichnyj-i-dekret-dlya-samozanyatyh/,"Налоговый режим для самозанятых становится привлекательнее с каждым годом. Это связано с расширением льготных предложений от банков и появлением различных гарантий для плательщиков налога на профессиональный доход (НПД).",3
51,Налоги самозанятых в 2023 году,https://www.vtb.ru/articles/samozanyatye-i-nalogi-v-2023/,"Самый простой способ начать свое дело и получать официальный доход – оформление самозанятости. В рамках этого специального налогового режима применяется упрощенная налоговая и кассовая дисциплина.",3
52,Инвестиции в золото,https://www.vtb.ru/articles/investicii-v-zoloto/,"На протяжении многих лет золото выступает одним из самых надежных инструментов для инвестиций. Драгоценный металл составляет значимую часть государственного капитала, служит обеспечением для крупных сделок и помогает защитить капитал от инфляции. Инвестировать в золото можно по-разному. В статье мы разберем возможные способы, а также сравним их плюсы и минусы.",4
53,Золото в слитках - почему выгодно покупать?,https://www.vtb.ru/articles/zoloto-v-slidkah/,"В нестабильной финансово-экономической ситуации люди перестают доверять курсу валют и ищут что-то более надёжное. Один из вариантов — вложение в драгоценные металлы. В этой статье мы расскажем о выгодах вложения средств в золото.",5
54,Чем отличается лизинг от кредита на авто,https://www.vtb.ru/articles/chem-otlichaetsya-lizing-ot-kredita-na-avto/,"Если нет средств на покупку личного автомобиля или обновление автопарка компании, можно получить их в лизинг или оформить кредит. Важно понимать, чем отличается лизинг от кредита и какой способ будет выгодным в вашем случае. Разбираемся в особенностях, преимуществах и недостатках обоих вариантов.",5
55,Как накопить деньги на машину,https://www.vtb.ru/articles/kak-nakopit-na-mashinu/,"Уже несколько лет самый бюджетный автомобиль в России — отечественный седан LADA Granta. Цены на базовую комплектацию в феврале 2023 г. начинаются от 678 300 рублей. Далеко не каждый может позволить себе отдать сразу такую сумму, что уж говорить про более дорогие марки машин китайских, корейских, японских, немецких или французских производителей. Можно попробовать накопить нужную сумму. Но как это сделать, особенно если раньше не приходилось откладывать деньги? Расскажем, как накопить на машину с любым уровнем дохода.",5
56,Какой подержанный автомобиль купить,https://www.vtb.ru/articles/kakoy-poderzhannyy-avtomobil-luchshe-kupit/,"Для подбора авто можно обратиться к профессионалам. За определенную плату специалист выезжает с клиентом на место, проводит комплексную проверку, может даже поторговаться, чтобы сбить цену. Но не все готовы к дополнительным тратам. Как самостоятельно подобрать надежное транспортное средство на вторичном рынке, расскажем в статье.",5
